month,year,month_num,weighted_O,weighted_R,weighted_alpha,weighted_ORA_sum,hostile_event_count,hostile_signal_raw,hostile_admission_count,hostile_allegation_count,hostile_procedural_count,hostile_signal_decay_3m,hostile_signal_decay_6m,hostile_signal_decay_12m,month_str
2023-08-01,2023,8,2.405480984340045,2.9549180327868854,2.1902207796970696,7.550619796824,0.0,0.0,0.0,0.0,0.0,0.19240156186112733,0.7842407678865297,2.291159640232962,2023-08
2023-09-01,2023,9,2.4062639821029084,2.963934426229508,2.1897605163751055,7.559958924707522,0.0,0.0,0.0,0.0,0.0,0.15270922084933908,0.6986790948235047,2.1625667306689236,2023-09
2023-10-01,2023,10,2.407046979865772,2.972950819672131,2.1893002530531414,7.569298052591044,1.0,3.0,0.0,1.0,0.0,3.1212053889107425,3.622452309969713,5.041191186538427,2023-10
2023-11-01,2023,11,2.4078299776286354,2.9819672131147543,2.1888399897311768,7.5786371804745665,1.0,1.9500000000000002,0.0,0.0,1.0,4.427302358882863,5.177238119476528,6.708250866290969,2023-11
2023-12-01,2023,12,2.408612975391499,2.990983606557377,2.1883797264092126,7.587976308358089,0.0,0.0,0.0,0.0,0.0,3.513952210935974,4.6123948041489395,6.331745675716764,2023-12
2024-01-01,2024,1,2.4093959731543624,3.0,2.1879194630872485,7.597315436241611,0.0,0.0,0.0,0.0,0.0,2.7890257181028733,4.109176618573452,5.976372097742446,2024-01
2024-02-01,2024,2,2.4344827845946413,3.0,2.18769160659541,7.622174391190051,1.0,2.8,0.0,0.0,1.0,5.013651179441432,6.460860182099342,8.440944106086702,2024-02
2024-03-01,2024,3,2.45956959603492,3.0,2.1874637501035714,7.647033346138492,0.0,0.0,0.0,0.0,0.0,3.9793375782234666,5.7559720543162625,7.967190316517178,2024-03
2024-04-01,2024,4,2.4846564074751996,3.0,2.1872358936117324,7.671892301086932,0.0,0.0,0.0,0.0,0.0,3.158402328904259,5.127988124841973,7.520026284006896,2024-04
2024-05-01,2024,5,2.5097432189154785,3.0,2.187008037119894,7.696751256035372,0.0,0.0,0.0,0.0,0.0,2.5068255897207163,4.568518047060596,7.0979596401652785,2024-05
