state,state_abbr,year,sex,pct_sadness,pct_sadness_lo,pct_sadness_hi,pct_suicide,pct_suicide_lo,pct_suicide_hi,n_sadness,n_suicide
Massachusetts,MA,2013,Total,21.69,19.64,23.9,11.96,10.81,13.22,2692,2681
Massachusetts,MA,2015,Female,34.83,32.07,37.7,17.43,15.24,19.86,1546,1547
Massachusetts,MA,2015,Male,19.92,17.5,22.57,12.18,10.36,14.27,1523,1517
Massachusetts,MA,2015,Total,27.42,25.51,29.4,14.87,13.09,16.85,3084,3080
Massachusetts,MA,2017,Female,36.03,33.3,38.85,15.71,13.64,18.03,1623,1615
Massachusetts,MA,2017,Male,19.01,16.35,22.0,9.23,7.35,11.54,1620,1620
Massachusetts,MA,2017,Total,27.45,25.28,29.72,12.44,11.21,13.79,3255,3245
Massachusetts,MA,2019,Female,41.1,36.3,46.1,19.2,16.4,22.2,,
Massachusetts,MA,2019,Male,26.4,23.7,29.2,15.4,13.1,18.1,,
Massachusetts,MA,2019,Total,33.8,30.8,37.0,17.5,15.6,19.6,,
Massachusetts,MA,2021,Female,50.1,47.0,53.2,25.1,22.3,28.0,,
Massachusetts,MA,2021,Male,26.6,23.1,30.4,11.5,9.2,14.1,,
Massachusetts,MA,2021,Total,38.5,35.6,41.4,18.4,16.5,20.4,,
Massachusetts,MA,2023,Female,45.3,41.8,48.7,20.2,17.2,23.6,,
Massachusetts,MA,2023,Male,23.4,20.3,26.8,11.6,9.4,14.3,,
Massachusetts,MA,2023,Total,34.0,31.2,36.9,15.8,13.7,18.1,,
Maryland,MD,2011,Female,31.38,27.49,35.55,19.26,16.68,22.12,1483,1498
Maryland,MD,2011,Male,19.21,16.65,22.05,12.88,9.71,16.9,1341,1360
Maryland,MD,2011,Total,25.39,22.64,28.35,16.19,13.7,19.04,2841,2874
