topology,scenario,timestep,n_infected
erdos_renyi,C_cluster,8.5000,27
erdos_renyi,C_cluster,8.6000,26
erdos_renyi,C_cluster,8.7000,24
erdos_renyi,C_cluster,8.8000,26
erdos_renyi,C_cluster,8.9000,27
erdos_renyi,C_cluster,9.0000,28
erdos_renyi,C_cluster,9.1000,28
erdos_renyi,C_cluster,9.2000,26
erdos_renyi,C_cluster,9.3000,26
erdos_renyi,C_cluster,9.4000,24
erdos_renyi,C_cluster,9.5000,25
erdos_renyi,C_cluster,9.6000,26
erdos_renyi,C_cluster,9.7000,25
erdos_renyi,C_cluster,9.8000,26
erdos_renyi,C_cluster,9.9000,25
erdos_renyi,C_cluster,10.0000,27
erdos_renyi,C_cluster,10.1000,24
erdos_renyi,C_cluster,10.2000,26
erdos_renyi,C_cluster,10.3000,27
erdos_renyi,C_cluster,10.4000,28
erdos_renyi,C_cluster,10.5000,27
erdos_renyi,C_cluster,10.6000,28
erdos_renyi,C_cluster,10.7000,27
erdos_renyi,C_cluster,10.8000,27
erdos_renyi,C_cluster,10.9000,25
erdos_renyi,C_cluster,11.0000,24
erdos_renyi,C_cluster,11.1000,23
erdos_renyi,C_cluster,11.2000,27
erdos_renyi,C_cluster,11.3000,27
erdos_renyi,C_cluster,11.4000,26
erdos_renyi,C_cluster,11.5000,26
erdos_renyi,C_cluster,11.6000,26
erdos_renyi,C_cluster,11.7000,25
erdos_renyi,C_cluster,11.8000,27
erdos_renyi,C_cluster,11.9000,26
erdos_renyi,C_cluster,12.0000,27
erdos_renyi,C_cluster,12.1000,24
erdos_renyi,C_cluster,12.2000,25
erdos_renyi,C_cluster,12.3000,24
erdos_renyi,C_cluster,12.4000,25
erdos_renyi,C_cluster,12.5000,24
erdos_renyi,C_cluster,12.6000,21
erdos_renyi,C_cluster,12.7000,23
erdos_renyi,C_cluster,12.8000,25
erdos_renyi,C_cluster,12.9000,26
erdos_renyi,C_cluster,13.0000,27
erdos_renyi,C_cluster,13.1000,30
erdos_renyi,C_cluster,13.2000,30
erdos_renyi,C_cluster,13.3000,27
erdos_renyi,C_cluster,13.4000,27
erdos_renyi,C_cluster,13.5000,26
erdos_renyi,C_cluster,13.6000,26
