Pe_start,M,K_eff,F,c_function
10,150,1.00055829,-0.00027911,0.0
10,151,1.00055829,-0.00027911,0.0
10,152,1.00055829,-0.00027911,0.0
10,153,1.00055829,-0.00027911,0.0
10,154,1.00055829,-0.00027911,0.0
10,155,1.00055829,-0.00027911,0.0
10,156,1.00055829,-0.00027911,0.0
10,157,1.00055829,-0.00027911,0.0
10,158,1.00055829,-0.00027911,0.0
10,159,1.00055829,-0.00027911,0.0
10,160,1.00055829,-0.00027911,0.0
10,161,1.00055829,-0.00027911,0.0
10,162,1.00055829,-0.00027911,0.0
10,163,1.00055829,-0.00027911,0.0
10,164,1.00055829,-0.00027911,0.0
10,165,1.00055829,-0.00027911,0.0
10,166,1.00055829,-0.00027911,0.0
10,167,1.00055829,-0.00027911,0.0
10,168,1.00055829,-0.00027911,0.0
10,169,1.00055829,-0.00027911,0.0
10,170,1.00055829,-0.00027911,0.0
10,171,1.00055829,-0.00027911,0.0
10,172,1.00055829,-0.00027911,0.0
10,173,1.00055829,-0.00027911,0.0
10,174,1.00055829,-0.00027911,0.0
10,175,1.00055829,-0.00027911,0.0
10,176,1.00055829,-0.00027911,0.0
10,177,1.00055829,-0.00027911,0.0
10,178,1.00055829,-0.00027911,0.0
10,179,1.00055829,-0.00027911,0.0
10,180,1.00055829,-0.00027911,0.0
10,181,1.00055829,-0.00027911,0.0
10,182,1.00055829,-0.00027911,0.0
10,183,1.00055829,-0.00027911,0.0
10,184,1.00055829,-0.00027911,0.0
10,185,1.00055829,-0.00027911,0.0
10,186,1.00055829,-0.00027911,0.0
10,187,1.00055829,-0.00027911,0.0
10,188,1.00055829,-0.00027911,0.0
10,189,1.00055829,-0.00027911,0.0
10,190,1.00055829,-0.00027911,0.0
10,191,1.00055829,-0.00027911,0.0
10,192,1.00055829,-0.00027911,0.0
10,193,1.00055829,-0.00027911,0.0
10,194,1.00055829,-0.00027911,0.0
10,195,1.00055829,-0.00027911,0.0
10,196,1.00055829,-0.00027911,0.0
10,197,1.00055829,-0.00027911,0.0
10,198,1.00055829,-0.00027911,0.0
10,199,1.00055829,-0.00027911,0.0
10,200,1.00055829,-0.00027911,0.0
20,2,1.00000002,-1e-08,
20,3,1.00000002,-1e-08,-0.0
20,4,1.00000002,-1e-08,0.0
20,5,1.00000002,-1e-08,0.0
20,6,1.00000002,-1e-08,0.0
20,7,1.00000002,-1e-08,0.0
20,8,1.00000002,-1e-08,0.0
20,9,1.00000002,-1e-08,0.0
20,10,1.00000002,-1e-08,0.0
20,11,1.00000002,-1e-08,0.0
20,12,1.00000002,-1e-08,0.0
20,13,1.00000002,-1e-08,0.0
20,14,1.00000002,-1e-08,0.0
20,15,1.00000002,-1e-08,0.0
20,16,1.00000002,-1e-08,0.0
20,17,1.00000002,-1e-08,0.0
20,18,1.00000002,-1e-08,0.0
20,19,1.00000002,-1e-08,0.0
20,20,1.00000002,-1e-08,0.0
20,21,1.00000002,-1e-08,0.0
20,22,1.00000002,-1e-08,0.0
20,23,1.00000002,-1e-08,0.0
20,24,1.00000002,-1e-08,0.0
20,25,1.00000002,-1e-08,0.0
20,26,1.00000002,-1e-08,0.0
20,27,1.00000002,-1e-08,0.0
20,28,1.00000002,-1e-08,0.0
20,29,1.00000002,-1e-08,0.0
20,30,1.00000002,-1e-08,0.0
20,31,1.00000002,-1e-08,0.0
20,32,1.00000002,-1e-08,0.0
20,33,1.00000002,-1e-08,0.0
20,34,1.00000002,-1e-08,0.0
20,35,1.00000002,-1e-08,0.0
20,36,1.00000002,-1e-08,0.0
20,37,1.00000002,-1e-08,0.0
20,38,1.00000002,-1e-08,0.0
20,39,1.00000002,-1e-08,0.0
20,40,1.00000002,-1e-08,0.0
20,41,1.00000002,-1e-08,0.0
20,42,1.00000002,-1e-08,0.0
20,43,1.00000002,-1e-08,0.0
20,44,1.00000002,-1e-08,0.0
20,45,1.00000002,-1e-08,0.0
20,46,1.00000002,-1e-08,0.0
20,47,1.00000002,-1e-08,0.0
20,48,1.00000002,-1e-08,0.0
20,49,1.00000002,-1e-08,0.0
20,50,1.00000002,-1e-08,0.0
20,51,1.00000002,-1e-08,0.0
20,52,1.00000002,-1e-08,0.0
20,53,1.00000002,-1e-08,0.0
20,54,1.00000002,-1e-08,0.0
20,55,1.00000002,-1e-08,0.0
20,56,1.00000002,-1e-08,0.0
20,57,1.00000002,-1e-08,0.0
20,58,1.00000002,-1e-08,0.0
20,59,1.00000002,-1e-08,0.0
20,60,1.00000002,-1e-08,0.0
20,61,1.00000002,-1e-08,0.0
20,62,1.00000002,-1e-08,0.0
20,63,1.00000002,-1e-08,0.0
20,64,1.00000002,-1e-08,0.0
20,65,1.00000002,-1e-08,0.0
20,66,1.00000002,-1e-08,0.0
20,67,1.00000002,-1e-08,0.0
20,68,1.00000002,-1e-08,0.0
20,69,1.00000002,-1e-08,0.0
